,Films,Year,GoldenGlobes,Nominations
648,Elmer Gantry,1961,1,5
649,Elvira Madigan,1968,0,2
650,Elvis on Tour,1973,0,1
651,"Emigrants, The",1973,2,2
652,Empire of the Sun,1988,0,2
653,Enchanted,2008,0,2
654,Enchanted April,1993,2,3
655,Endless Love,1981,0,1
656,Enough Said,2014,0,1
657,Equus,1978,2,2
658,Erin Brockovich,2001,1,4
659,Eternal Sunshine of The Spotless Mind,2005,0,4
660,Europa Europa,1992,1,1
661,"Europeans, The",1980,0,1
662,"Evening Star, The",1997,0,1
663,Everlasting Moments,2009,0,1
664,Everybody's Fine,2010,0,1
665,Everyone Says I Love You,1997,0,1
666,Evita,1997,3,5
667,Ex Machina,2016,0,1
668,Exodus,1961,1,3
669,"Exorcist, The",1974,4,7
670,Experiment In Terror,1963,0,1
671,Extremities,1987,0,1
672,Eyes Wide Shut,2000,0,1
673,Eyes of Children,1956,1,1
674,"Fabulous Baker Boys, The",1990,1,2
675,Face to Face,1977,1,2
676,"Facts of Life, The",1961,0,3
677,Falling In Love Again,1981,0,1
678,"Family Jewels, The",1966,0,1
679,Family Plot,1977,0,1
680,"Family Stone, The",2006,0,1
681,Fanny,1962,0,4
682,Fanny & Alexander,1984,1,2
683,Fantastic Mr. Fox,2010,0,1
684,Far From Heaven,2003,0,4
685,Far From The Madding Crowd,1968,0,3
686,"Faraway, So Close!",1994,0,1
687,Farewell My Concubine,1994,1,1
688,Fargo,1997,0,4
689,Farinelli: Il Castrato,1995,1,1
690,Fatal Attraction,1988,0,4
691,Father Goose,1965,0,1
692,Father of the Bride Part II,1996,0,1
693,"Favourite, The",2019,1,5
694,Fearless,1994,0,1
695,Fellini Satyricon,1970,0,1
696,"Femme Nikita, La",1992,0,1
697,Fences,2017,1,2
698,Ferdinand,2018,0,2
699,Ferris Bueller's Day Off,1987,0,1
700,"Few Good Men, A",1993,0,5
701,Fiddler on the Roof,1972,2,4
702,"Field, The",1991,0,1
703,Fifty Shades of Grey,2016,0,1
704,"Fighter, The",2011,2,6
705,Finding Nemo,2004,0,1
706,Finding Neverland,2005,0,5
707,Finian's Rainbow,1969,0,5
708,First Man,2019,1,2
709,First Monday in October,1982,0,2
710,First They Killed My Father,2018,0,1
711,"Fish Called Wanda, A",1989,0,3
712,"Fisher King, The",1992,2,5
713,Fitzcarraldo,1983,0,1
714,Five Easy Pieces,1971,0,5
715,"Five Pennies, The",1960,0,2
716,"Fixer, The",1969,0,3
717,Flags of Our Fathers,2007,0,1
718,"Flamingo Kid, The",1985,0,1
719,Flashdance,1984,2,5
720,Flight,2013,0,1
721,Flight of the Innocent,1994,0,1
722,"Flight of the Phoenix, The",1966,0,2
723,Florence Foster Jenkins,2017,0,4
724,"Florida Project, The ",2018,0,1
725,Flower Drum Song,1962,0,2
726,"Flying Fontaines, The",1960,0,1
727,Footloose,1985,0,1
728,For Love of Ivy,1969,0,2
729,For Love or Money,1964,0,1
730,For The Boys,1992,1,2
731,For Whom The Bell Tolls,1944,2,2
732,For Your Eyes Only,1982,0,1
733,Force Majeure,2015,0,1
734,Forever Female,1954,1,1
735,Forrest Gump,1995,3,7
736,"Fortune Cookie, The",1967,0,1
737,"Fortune, The",1976,0,1
738,Foul Play,1979,0,7
739,Four Friends,1982,0,1
740,Four Guns to the Border,1955,0,1
741,"Four Poster, The",1953,0,1
742,"Four Seasons, The",1982,0,4
743,Four Weddings and a Funeral,1995,1,4
744,Foxcatcher,2015,0,3
745,Frances,1983,0,2
746,Frances Ha,2014,0,1
747,Frankenweenie,2013,0,1
748,Frankie & Johnny,1992,0,1
749,Frankie and Alice,2011,0,1
750,Freaky Friday (1976),1977,0,3
751,Freaky Friday (2003),2004,0,1
752,Freebie and The Bean,1975,0,1
753,French Connection II,1976,0,1
754,"French Connection, The",1972,3,4
755,"French Lieutenant's Woman, The",1982,1,3
756,French Twist,1996,0,1
757,Frenzy,1973,0,4
758,Frequency,2001,0,1
759,Freud,1963,0,4
760,Frida,2003,1,2
761,Fried Green Tomatoes,1992,0,3
762,Friendly Persuasion,1957,0,4
763,Friends (Foreign Language Film),1972,0,1
764,From Here to Eternity,1954,2,2
765,From Noon Till Three,1977,0,1
766,From Russia With Love,1965,0,1
767,From The Terrace,1961,1,2
768,"Front Page, The",1975,0,3
769,"Front, The",1977,0,1
770,Frost/Nixon,2009,0,5
771,Frozen,2014,1,2
772,"Fugitive, The",1994,1,3
773,Full Metal Jacket,1988,0,1
774,"Full Monty, The",1998,0,1
775,Funny Girl,1969,1,4
776,Funny Lady,1976,0,6
777,"Funny Thing Happened on the Way to the Forum, A",1967,0,1
778,Furious 7,2016,0,1
779,Gaby: A True Story,1988,0,2
780,Gallipoli,1982,0,1
781,Gambit,1967,0,3
