,Films,Year,Oscars,Nominations
591,Boyhood,2015,1,6
592,Boys Don't Cry,2000,1,2
593,Boys Town,1939,2,5
594,Boys and Girls,1984,1,1
595,Boyz N the Hood,1992,0,2
596,Bram Stoker's Dracula,1993,2,3
597,Brave,2013,1,1
598,Brave Little Tailor,1939,0,1
599,Braveheart,1996,5,10
600,Bravery in the Field,1980,0,1
601,Brazil,1945,0,3
602,Brazil,1986,0,2
603,"Bread, Love and Dreams",1955,0,1
604,Breaker Morant,1981,0,1
605,Breakfast at Tiffany's,1962,2,5
606,Breaking Away,1980,1,5
607,Breaking the Habit,1965,0,1
608,Breaking the Ice,1939,0,1
609,Breaking the Language Barrier,1962,0,1
610,Breaking the Sound Barrier,1953,1,2
611,Breaking the Waves,1997,0,1
612,Breathing Lessons: The Life and Work of Mark O'Brien,1997,1,1
613,Brewster's Millions,1946,0,1
614,Bride of Frankenstein,1936,0,1
615,Bridesmaids,2012,0,2
616,Bridge of Spies,2016,1,6
617,Bridge of Time,1953,0,1
618,Bridget Jones's Diary,2002,0,1
619,Brief Encounter,1947,0,3
620,Brigadoon,1955,0,3
621,Bright Star,2010,0,1
622,Bright Victory,1952,0,2
623,Broadcast News,1988,0,7
624,Broadway Danny Rose,1985,0,2
625,Broadway Hostess,1936,0,1
626,Broadway Melody of 1936,1936,1,3
627,Brokeback Mountain,2006,3,8
628,Broken Arrow,1951,0,3
629,Broken Lance,1955,1,2
630,Broken Rainbow,1986,1,1
631,Bronx Cheers,1991,0,1
632,Brooklyn,2016,0,3
633,Brooklyn Bridge,1982,0,1
634,"Brooklyn, U.S.A.",1948,0,1
635,Brooms,1996,0,1
636,"Bror, Min Bror (Teis and Nico)",2000,0,1
637,Brother Bear,2004,0,1
638,Brother Sun Sister Moon,1974,0,1
639,Brubaker,1981,0,1
640,Buck Privates,1942,0,2
641,Buena Vista Social Club,2000,0,1
642,Bugsy,1992,2,10
643,Bugsy Malone,1977,0,1
644,Building Bombs,1991,0,1
645,Building a Building,1934,0,1
646,Bull Durham,1989,0,1
647,Bulldog Drummond,1931,0,2
648,Bullets over Broadway,1995,1,7
649,Bullfighter and the Lady,1952,0,1
650,Bullhead,2012,0,1
651,Bullitt,1969,1,2
652,Bulworth,1999,0,1
653,Bunny,1999,1,1
654,Burma VJ,2010,0,1
655,Burning Down Tomorrow,1991,0,1
656,Burnt by the Sun,1995,1,1
657,Bus Stop,1957,0,1
658,Buster,1989,0,1
659,Busy Little Bears,1940,1,1
660,Butch Cassidy and the Sundance Kid,1970,4,7
661,Butch and Sundance: The Early Days,1980,0,1
662,Butter Lamp (La Lampe Au Beurre De Yak),2015,0,1
663,Butterfield 8,1961,1,2
664,Butterflies Are Free,1973,1,3
665,Buzkashi Boys,2013,0,1
666,By Courier,2001,0,1
667,Bye Bye Birdie,1964,0,2
668,Cabaret,1973,8,10
669,Cabin in the Sky,1944,0,1
670,Cactus Flower,1970,1,1
671,Cadillac Dreams,1989,0,1
672,Caesar and Cleopatra,1947,0,1
673,Caged,1951,0,3
674,Cain and Mabel,1937,0,1
675,Calamity Jane,1954,1,3
676,Calgary Stampede,1949,0,1
677,California Suite,1979,1,3
678,Call Me Madam,1954,1,2
679,Call Me by Your Name,2018,1,3
680,Camelot,1968,3,5
681,Camera Thrills,1936,0,1
682,Camila,1985,0,1
683,Camille,1938,0,1
684,Camille Claudel,1990,0,2
685,Can You Ever Forgive Me?,2019,0,3
686,Can't Help Singing,1946,0,2
687,Can't Stop The Feeling,2017,0,1
688,Can-Can,1961,0,2
689,Canhead,1997,0,1
690,Canyon Passage,1947,0,1
691,Cape Fear,1992,0,2
692,Capernaum,2019,0,1
693,Capote,2006,1,5
694,Captain America: The Winter Soldier,2015,0,1
695,Captain Blood,1936,0,5
696,"Captain Carey, U.S.A.",1951,1,1
697,Captain Caution,1941,0,1
698,Captain Eddie,1946,0,1
699,Captain Fantastic,2017,0,1
700,Captain Fury,1940,0,1
701,Captain Kidd,1946,0,1
702,"Captain Newman, M.D.",1964,0,3
703,Captain Phillips,2014,0,6
704,Captain from Castile,1948,0,1
705,Captains Courageous,1938,1,4
706,Captains of the Clouds,1943,0,2
707,Capturing the Friedmans,2004,0,1
708,Caravan,2000,0,1
709,Caravans,1979,0,1
710,Career,1960,0,3
711,Carefree,1939,0,3
712,Carmen,1984,0,1
713,Carmen Jones,1955,0,2
714,Carnal Knowledge,1972,0,1
715,Carol,2016,0,6
716,Carrie,1953,0,2
717,Carrie,1977,0,2
718,Cars,2007,0,2
719,Cartel Land,2016,0,1
720,Casablanca,1944,3,8
721,Casals Conducts: 1964,1965,1,1
722,Casanova '70,1966,0,1
723,Casanova Brown,1945,0,3
724,Casbah,1949,0,1
725,Cashback,2006,0,1
726,Casino,1996,0,1
727,Casino Royale,1968,0,1
728,Cast Away,2001,0,2
729,Cat Ballou,1966,1,5
730,Cat on a Hot Tin Roof,1959,0,6
731,Catch Me If You Can,2003,0,2
732,Cats' Play,1975,0,1
733,Cavalcade,1934,3,4
734,Cavalcade of Dance with Veloz and Yolanda,1944,0,1
735,CaveDigger,2014,0,1
736,Centennial Summer,1947,0,2
737,Central Station,1999,0,2
738,Chagall,1964,1,1
739,Champagne for Two,1948,0,1
740,Champion,1950,1,6
741,Champions Carry On,1944,0,1
742,Chances Are,1990,0,1
743,Chang,1929,0,1
744,Changeling,2009,0,3
745,Changing Our Minds: The Story of Dr. Evelyn Hooker,1993,0,1
746,Chaplin,1993,0,3
747,Chapter Two,1980,0,1
748,Character,1998,1,1
749,Charade,1964,0,1
750,Charade,1985,1,1
751,Chariots of Fire,1982,4,7
752,Chariots of the Gods,1971,0,1
753,Charlie Wilson's War,2008,0,1
754,Charlie and the Chocolate Factory,2006,0,1
755,Charly,1969,1,1
756,Chase of Death,1950,0,1
757,Chasing Ice,2013,0,1
758,"Chau, beyond the Lines",2016,0,1
759,Cheers for Miss Bishop,1942,0,1
760,Chernobyl Heart,2004,1,1
761,Cheyenne Autumn,1965,0,1
762,Chicago,2003,6,13
763,Chicks in White Satin,1994,0,1
764,Chico & Rita,2012,0,1
765,Children Underground,2002,0,1
766,Children Without,1965,0,1
767,Children at Work (Paisti Ag Obair),1974,0,1
768,Children of Darkness,1984,0,1
769,Children of Fate,1994,0,1
770,Children of Heaven,1999,0,1
771,Children of Mars,1944,0,1
772,Children of Men,2007,0,3
773,Children of Nature,1992,0,1
774,Children of Paradise,1947,0,1
775,Children of a Lesser God,1987,1,5
776,Chile: Hasta Cuando?,1987,0,1
777,Chimps: So Like Us,1991,0,1
778,China's Unnatural Disaster: The Tears of Sichuan Province,2010,0,1
779,Chinatown,1975,1,11
780,Chip An' Dale,1948,0,1
781,Chitty Chitty Bang Bang,1969,0,1
782,Chocolat,2001,0,5
